epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.8171,0.70018,3.93994,1.01842,0.00365,0.93333,0.13834,0.12659,0.37921,3.49347,0.78492,1e-05,1e-05,1e-05
2,3.2566,0.73685,3.76089,1.04944,0.00356,0.93333,0.13053,0.11886,0.38238,3.49283,0.78564,2.9703e-05,2.9703e-05,2.9703e-05
3,3.73145,0.68716,3.76207,1.03776,0.00368,0.96667,0.15198,0.13919,0.3492,3.47352,0.77274,4.901e-05,4.901e-05,4.901e-05
4,4.22386,0.64193,3.64062,1.00192,0.00383,0.96667,0.24726,0.22744,0.30173,3.45374,0.75966,6.7921e-05,6.7921e-05,6.7921e-05
5,4.69474,0.54573,3.55679,0.94314,0.00409,0.96667,0.35215,0.32469,0.33666,3.42976,0.77143,8.6436e-05,8.6436e-05,8.6436e-05
6,5.16832,0.52386,3.35758,0.90701,0.00471,1,0.38925,0.34968,0.40107,3.402,0.78641,0.000104555,0.000104555,0.000104555
7,5.64107,0.56334,3.17482,0.93653,0.00561,1,0.40814,0.35985,0.33712,3.36442,0.76888,0.000122278,0.000122278,0.000122278
8,6.12967,0.47607,2.89395,0.87988,0.00662,1,0.42333,0.38544,0.3325,3.28998,0.75748,0.000139605,0.000139605,0.000139605
9,6.59669,0.50832,2.64884,0.884,0.00708,1,0.40327,0.36997,0.3356,3.23784,0.75331,0.000156536,0.000156536,0.000156536
10,7.05056,0.64977,2.64203,1.01462,0.00763,1,0.43546,0.39699,0.33327,3.15705,0.75179,0.000173071,0.000173071,0.000173071
11,7.51843,0.49409,2.42586,0.92563,0.00839,1,0.41395,0.38415,0.32851,3.06179,0.7466,0.00018921,0.00018921,0.00018921
12,7.97447,0.52132,2.13683,0.89729,0.00939,1,0.45636,0.41355,0.35826,2.94342,0.75147,0.000204953,0.000204953,0.000204953
13,8.44772,0.59526,2.22754,0.95639,0.76548,0.12164,0.50949,0.46593,0.39162,2.81794,0.75819,0.0002203,0.0002203,0.0002203
14,8.91307,0.548,2.28983,0.93964,1,0.0634,0.52333,0.48582,0.3611,2.71585,0.75474,0.000235251,0.000235251,0.000235251
15,9.38041,0.44946,2.00783,0.88616,1,0.06323,0.54761,0.51673,0.33854,2.66995,0.7496,0.000249806,0.000249806,0.000249806
16,9.84635,0.59458,1.90862,0.98833,0.9478,0.03736,0.58869,0.55597,0.33909,2.68012,0.74964,0.000263965,0.000263965,0.000263965
17,10.3172,0.48933,1.82019,0.87241,0.18114,0.83018,0.64686,0.59942,0.35924,2.68833,0.75509,0.000277728,0.000277728,0.000277728
18,10.799,0.61031,1.82602,1.00544,0.85786,0.08625,0.64971,0.60679,0.36029,2.65243,0.76538,0.000291095,0.000291095,0.000291095
19,11.2717,0.64811,1.76756,1.00291,0.99506,0.16667,0.68811,0.63231,0.33066,2.59303,0.76022,0.000304066,0.000304066,0.000304066
20,11.7373,0.61812,1.63436,0.95792,0.96202,0.23333,0.75494,0.71228,0.3143,2.50019,0.75603,0.000316641,0.000316641,0.000316641
21,12.2149,0.57144,1.63478,0.96049,0.94999,0.3279,0.79599,0.75046,0.32909,2.33923,0.75735,0.00032882,0.00032882,0.00032882
22,12.6778,0.4495,1.50318,0.91044,0.94013,0.5193,0.83325,0.77763,0.32867,2.17872,0.75502,0.000340603,0.000340603,0.000340603
23,13.1462,0.50511,1.47619,0.8963,0.94927,0.73019,0.84542,0.77081,0.31781,2.01257,0.75183,0.00035199,0.00035199,0.00035199
24,13.6071,0.48203,1.40172,0.88269,0.96,0.74545,0.84246,0.77455,0.35987,1.90498,0.76102,0.000362981,0.000362981,0.000362981
25,14.0707,0.45055,1.39914,0.90509,0.94736,0.7542,0.835,0.76971,0.34283,1.89789,0.76135,0.000373576,0.000373576,0.000373576
26,14.5396,0.57198,1.33227,0.93882,0.95283,0.72048,0.848,0.80446,0.31286,1.92739,0.75857,0.000383775,0.000383775,0.000383775
27,15.0071,0.50313,1.28616,0.87611,0.93686,0.74373,0.89871,0.8674,0.30234,1.84166,0.76959,0.000393578,0.000393578,0.000393578
28,15.4697,0.43787,1.16668,0.88137,0.93686,0.74373,0.89871,0.8674,0.30234,1.84166,0.76959,0.000402985,0.000402985,0.000402985
29,15.9382,0.48219,1.16633,0.94514,0.94024,0.77336,0.96583,0.93933,0.31477,1.71194,0.77093,0.000411996,0.000411996,0.000411996
30,16.4118,0.54855,1.44113,0.93451,0.97386,0.815,0.93574,0.88819,0.31973,1.60997,0.75779,0.000420611,0.000420611,0.000420611
31,16.8642,0.4667,1.18485,0.91699,0.97386,0.815,0.93574,0.88819,0.31973,1.60997,0.75779,0.00042883,0.00042883,0.00042883
32,17.3239,0.56225,1.18432,0.95268,0.97281,0.81942,0.87646,0.83027,0.32016,1.53362,0.74683,0.000436653,0.000436653,0.000436653
33,17.7848,0.44475,1.17488,0.89075,0.98186,0.82193,0.88381,0.84476,0.31538,1.4068,0.74079,0.00044408,0.00044408,0.00044408
34,18.2403,0.39568,1.12735,0.86463,0.98186,0.82193,0.88381,0.84476,0.31538,1.4068,0.74079,0.000451111,0.000451111,0.000451111
35,18.7047,0.42642,1.01156,0.87804,0.97487,0.81294,0.94167,0.90771,0.30581,1.26236,0.73593,0.000457746,0.000457746,0.000457746
36,19.1705,0.53194,1.15064,0.93876,0.9401,0.80049,0.95849,0.92524,0.2955,1.18521,0.73373,0.000463985,0.000463985,0.000463985
37,19.6227,0.42321,0.9688,0.86858,0.9401,0.80049,0.95849,0.92524,0.2955,1.18521,0.73373,0.000469828,0.000469828,0.000469828
38,20.084,0.48468,1.3122,0.93902,0.87311,0.83333,0.995,0.96823,0.30226,1.09268,0.74084,0.000475275,0.000475275,0.000475275
39,20.5601,0.51013,1.27292,0.94805,0.87109,0.87302,0.995,0.96214,0.30399,1.05116,0.74779,0.000480326,0.000480326,0.000480326
40,21.0125,0.45782,0.98527,0.93154,0.87109,0.87302,0.995,0.96214,0.30399,1.05116,0.74779,0.000484981,0.000484981,0.000484981
41,21.4692,0.51714,1.07264,0.9356,0.87222,0.87889,0.995,0.97028,0.30058,1.09337,0.75028,0.00048924,0.00048924,0.00048924
42,21.9418,0.49736,1.05504,0.89663,0.87549,0.88482,0.995,0.95078,0.3276,1.07672,0.74847,0.000493103,0.000493103,0.000493103
43,22.3903,0.42454,1.02616,0.85026,0.87549,0.88482,0.995,0.95078,0.3276,1.07672,0.74847,0.00049657,0.00049657,0.00049657
44,22.8525,0.41909,1.06362,0.89477,0.87051,0.95579,0.995,0.95518,0.32884,0.95358,0.74136,0.000499641,0.000499641,0.000499641
45,23.3006,0.47821,1.04524,0.95156,0.87051,0.95579,0.995,0.95518,0.32884,0.95358,0.74136,0.000502316,0.000502316,0.000502316
46,23.7569,0.42349,0.95583,0.86064,0.86334,0.96147,0.995,0.96935,0.29997,0.856,0.74251,0.000504595,0.000504595,0.000504595
47,24.2069,0.4345,0.91638,0.89287,0.86334,0.96147,0.995,0.96935,0.29997,0.856,0.74251,0.000506478,0.000506478,0.000506478
48,24.672,0.46122,1.06299,0.90995,0.86197,0.99088,0.995,0.95828,0.29569,0.76893,0.74659,0.000507965,0.000507965,0.000507965
49,25.1242,0.45824,0.9735,0.93014,0.86197,0.99088,0.995,0.95828,0.29569,0.76893,0.74659,0.000509056,0.000509056,0.000509056
50,25.5814,0.53323,1.03987,0.94181,0.84662,0.963,0.995,0.96992,0.27712,0.72619,0.74711,0.000509751,0.000509751,0.000509751
51,26.0299,0.41574,1.01734,0.89096,0.84662,0.963,0.995,0.96992,0.27712,0.72619,0.74711,0.000505,0.000505,0.000505
52,26.5008,0.42853,0.99038,0.86572,0.86554,0.96509,0.995,0.96164,0.28177,0.68887,0.75492,0.0004951,0.0004951,0.0004951
53,26.9576,0.38778,0.90965,0.91447,0.86554,0.96509,0.995,0.96164,0.28177,0.68887,0.75492,0.0004852,0.0004852,0.0004852
54,27.4173,0.42706,0.93922,0.84398,0.87419,0.99317,0.995,0.95114,0.31359,0.65045,0.75825,0.0004753,0.0004753,0.0004753
55,27.8669,0.41877,0.91557,0.88404,0.87419,0.99317,0.995,0.95114,0.31359,0.65045,0.75825,0.0004654,0.0004654,0.0004654
56,28.3267,0.3907,1.05104,0.8799,0.90543,0.99349,0.995,0.95553,0.30309,0.62949,0.75049,0.0004555,0.0004555,0.0004555
57,28.7752,0.35924,0.89212,0.85114,0.90543,0.99349,0.995,0.95553,0.30309,0.62949,0.75049,0.0004456,0.0004456,0.0004456
58,29.2358,0.46857,0.97736,0.90368,0.92264,1,0.995,0.94407,0.27812,0.61958,0.74167,0.0004357,0.0004357,0.0004357
59,29.6933,0.44407,0.9492,0.88108,0.92264,1,0.995,0.94407,0.27812,0.61958,0.74167,0.0004258,0.0004258,0.0004258
60,30.1619,0.42548,0.8948,0.89601,0.9402,1,0.995,0.96224,0.26372,0.61346,0.73469,0.0004159,0.0004159,0.0004159
61,30.6145,0.37914,0.91317,0.88958,0.9402,1,0.995,0.96224,0.26372,0.61346,0.73469,0.000406,0.000406,0.000406
62,31.0743,0.42014,0.95856,0.92605,0.95525,0.99975,0.995,0.96624,0.24873,0.60995,0.73102,0.0003961,0.0003961,0.0003961
63,31.5261,0.36172,0.87263,0.87392,0.95525,0.99975,0.995,0.96624,0.24873,0.60995,0.73102,0.0003862,0.0003862,0.0003862
64,31.9873,0.40903,0.92824,0.92484,0.96765,0.99724,0.995,0.98967,0.23777,0.57977,0.72919,0.0003763,0.0003763,0.0003763
65,32.451,0.33688,0.82107,0.84292,0.96765,0.99724,0.995,0.98967,0.23777,0.57977,0.72919,0.0003664,0.0003664,0.0003664
66,32.9289,0.42894,0.99824,0.90347,0.9558,1,0.995,0.98084,0.23313,0.56049,0.72452,0.0003565,0.0003565,0.0003565
67,33.3799,0.40602,0.90847,0.86525,0.9558,1,0.995,0.98084,0.23313,0.56049,0.72452,0.0003466,0.0003466,0.0003466
68,33.8389,0.37952,0.89319,0.86811,0.9352,1,0.995,0.97722,0.23553,0.55858,0.72123,0.0003367,0.0003367,0.0003367
69,34.2979,0.38993,0.85638,0.85129,0.9352,1,0.995,0.97722,0.23553,0.55858,0.72123,0.0003268,0.0003268,0.0003268
70,34.7583,0.39416,0.87834,0.87656,0.91053,1,0.995,0.97886,0.23376,0.56879,0.72088,0.0003169,0.0003169,0.0003169
71,35.2113,0.38388,0.91057,0.84308,0.91053,1,0.995,0.97886,0.23376,0.56879,0.72088,0.000307,0.000307,0.000307
72,35.6733,0.34425,0.93643,0.87977,0.90653,1,0.995,0.9817,0.21412,0.57675,0.71698,0.0002971,0.0002971,0.0002971
73,36.127,0.36983,0.87585,0.87063,0.90653,1,0.995,0.9817,0.21412,0.57675,0.71698,0.0002872,0.0002872,0.0002872
74,36.5968,0.34131,0.84646,0.8383,0.93991,1,0.995,0.9781,0.20128,0.56643,0.7149,0.0002773,0.0002773,0.0002773
75,37.0539,0.33192,0.78471,0.81996,0.93991,1,0.995,0.9781,0.20128,0.56643,0.7149,0.0002674,0.0002674,0.0002674
76,37.5194,0.31907,0.87576,0.8255,0.95814,0.9979,0.995,0.97562,0.19707,0.56137,0.71534,0.0002575,0.0002575,0.0002575
77,37.9753,0.32274,0.85783,0.87256,0.95814,0.9979,0.995,0.97562,0.19707,0.56137,0.71534,0.0002476,0.0002476,0.0002476
78,38.4398,0.38975,0.7904,0.86543,0.96079,0.99906,0.995,0.98653,0.196,0.54287,0.71758,0.0002377,0.0002377,0.0002377
79,38.8967,0.37886,0.83684,0.88245,0.96079,0.99906,0.995,0.98653,0.196,0.54287,0.71758,0.0002278,0.0002278,0.0002278
80,39.3543,0.32873,0.84794,0.85459,0.97322,0.99693,0.995,0.98786,0.19764,0.51912,0.72022,0.0002179,0.0002179,0.0002179
81,39.8064,0.39506,0.8617,0.87554,0.97322,0.99693,0.995,0.98786,0.19764,0.51912,0.72022,0.000208,0.000208,0.000208
82,40.2671,0.29817,0.90945,0.8271,0.98334,1,0.995,0.98786,0.19822,0.50197,0.72128,0.0001981,0.0001981,0.0001981
83,40.7173,0.29708,0.81386,0.87732,0.98334,1,0.995,0.98786,0.19822,0.50197,0.72128,0.0001882,0.0001882,0.0001882
84,41.1778,0.36386,0.88933,0.85527,0.98595,1,0.995,0.98719,0.19537,0.49807,0.72045,0.0001783,0.0001783,0.0001783
85,41.6304,0.35612,0.80628,0.86166,0.98595,1,0.995,0.98719,0.19537,0.49807,0.72045,0.0001684,0.0001684,0.0001684
86,42.0989,0.32955,0.84846,0.8685,0.98746,1,0.995,0.99034,0.20114,0.48949,0.72115,0.0001585,0.0001585,0.0001585
87,42.5593,0.33018,0.82351,0.84731,0.98746,1,0.995,0.99034,0.20114,0.48949,0.72115,0.0001486,0.0001486,0.0001486
88,43.0301,0.31852,0.8298,0.85965,0.98607,1,0.995,0.98967,0.19837,0.47768,0.72022,0.0001387,0.0001387,0.0001387
89,43.4858,0.31255,0.79072,0.85968,0.98607,1,0.995,0.98967,0.19837,0.47768,0.72022,0.0001288,0.0001288,0.0001288
90,43.9462,0.30994,0.78285,0.88734,0.98626,1,0.995,0.98967,0.19055,0.46428,0.71895,0.0001189,0.0001189,0.0001189
91,45.5783,0.23701,1.06633,0.78683,0.98626,1,0.995,0.98967,0.19055,0.46428,0.71895,0.000109,0.000109,0.000109
92,46.1597,0.21803,1.07303,0.77014,0.98696,1,0.995,0.98967,0.18059,0.4596,0.71858,9.91e-05,9.91e-05,9.91e-05
93,46.6283,0.24274,1.08143,0.76923,0.98696,1,0.995,0.98967,0.18059,0.4596,0.71858,8.92e-05,8.92e-05,8.92e-05
94,47.0916,0.24114,1.10298,0.79188,0.98662,1,0.995,0.98967,0.1713,0.4602,0.71795,7.93e-05,7.93e-05,7.93e-05
95,47.5483,0.20915,1.06253,0.77228,0.98662,1,0.995,0.98967,0.1713,0.4602,0.71795,6.94e-05,6.94e-05,6.94e-05
96,48.0202,0.21448,1.06161,0.8265,0.98417,1,0.995,0.98967,0.16654,0.46584,0.71812,5.95e-05,5.95e-05,5.95e-05
97,48.4837,0.25225,1.07248,0.86211,0.98417,1,0.995,0.98967,0.16654,0.46584,0.71812,4.96e-05,4.96e-05,4.96e-05
98,48.9652,0.24191,1.09501,0.77676,0.9817,1,0.995,0.98967,0.16588,0.46629,0.7185,3.97e-05,3.97e-05,3.97e-05
99,49.4226,0.20576,1.11456,0.77899,0.9817,1,0.995,0.98967,0.16588,0.46629,0.7185,2.98e-05,2.98e-05,2.98e-05
100,49.8899,0.21334,1.06654,0.8062,0.98084,1,0.995,0.99034,0.16581,0.4616,0.71884,1.99e-05,1.99e-05,1.99e-05
